candidate_id,generator_model,architecture,case,criterion_id,domain,critical,status,error,observed,expected,evidence_path
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-01,chemistry,True,PASS,False,missing groups=[],All target identity term groups present,final proposal and chemistry plan
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-02,chemistry,True,PASS,False,missing groups=[],All protocol-required materials present,final proposal and chemistry plan
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-03,chemistry,False,PASS,False,explicit liquid streams=1/1,Every liquid feed has contents and flow,final streams
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-04,process,True,PASS,False,sequence errors=[],Required operation order and stream introduction stages,"final stages, streams, and topology"
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-05,chemistry,True,PASS,False,gas streams=0; packed bed=True,gas_required=False; packed_bed=True,final streams and topology
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-06,source_fidelity,True,PASS,False,temperatures=[150.0]; BPR=20.0,temperatures=[150.0]; BPR=20.0,final parameters and stages
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-07,source_fidelity,False,PASS,False,reasoned fields=7,At least three field-level calculation/inference rationales,proposal.reasoning_per_field
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-08,completeness,True,PASS,False,missing=[]; streams=1,Valid structured output with mandatory fields and streams,result.schema_valid and final proposal
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-09,calculation,True,PASS,False,"values={'tau': 3.0, 'flow': 0.1, 'concentration': 0.25, 'volume': 0.3, 'ID': 4.0, 'BPR': 20.0}; gas pressure basis=True","Finite positive run values, nonnegative pressure, explicit gas pressure basis",final proposal
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-10,calculation,True,PASS,False,sum liquid streams=0.1; outlet/top flow=0.1,Relative difference <= 5%,final streams and parameters
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-11,calculation,True,PASS,False,"C,Q pairs=[(0.25, 0.1)]",Each reactive liquid stream has finite concentration and flow,final streams
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-12,calculation,True,PASS,False,"reported equivalents=[1.0, 1.0, 1.1]",required equivalents=[1.1],final streams
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-13,calculation,True,PASS,False,closure errors=[],Every stage and total residence time within 5% of V/Q basis,final stages and parameters
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-14,calculation,True,PASS,False,reported reactor volumes=[0.3],inventory reactor volumes=[0.3],final stages/parameters and frozen inventory
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-15,calculation,True,NOT_APPLICABLE,False,No gas reagent in this case,Not applicable,frozen expectations
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-16,calculation,True,NOT_APPLICABLE,False,No gas reagent in this case,Not applicable,frozen expectations
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-17,calculation,True,NOT_APPLICABLE,False,No gas reagent in this case,Not applicable,frozen expectations
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-18,calculation,False,PASS,False,calculated limiting-feed throughput=1.5 mmol/h,Positive throughput reproducible from C x Q x 60,final parameters
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-19,inventory,True,PASS,False,inventory errors=[],All explicit equipment and operating settings supported by frozen inventory,final design and frozen inventory
H-CC77E4A,Qwen3.6-27B,One-shot,CuAAC,NG-20,process,True,PASS,False,missing safety groups=[]; missing topology=[],Complete required topology and executable safety controls,"final proposal, topology, and safety report"
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,NG-01,chemistry,True,FAIL,True,"missing groups=[['3-azetidinol'], ['hydrogenolysis']]",All target identity term groups present,final proposal and chemistry plan
H-02AD5C9,Qwen3.6-27B,One-shot,Hydrogenolysis,NG-02,chemistry,True,FAIL,True,"missing groups=[['pd(oh)2/al2o3', 'palladium hydroxide', 'pd(oh)2']]",All protocol-required materials present,final proposal and chemistry plan
