ticket_id,status,triage_class,severity,deterministic_corroborating_criteria,possible_tolerance_overcall,intermediate_only_evidence,generator_model,case,candidate_id,domain,criterion_id,error_titles,evidence_paths,observed_values,required_corrections,source_result
FP-AUDIT-001,NEEDS_TECHNICAL_ADJUDICATION,TOLERANCE_REVIEW_REQUIRED,MAJOR,,True,False,Qwen3.6-27B,CuAAC,H-DF8A379,chemistry_protocol,HC-02,Premixed feed concentration statement is chemically incomplete and stoichiometry is inconsistently encoded | Reactor length inconsistent with inventory cartridge dimensions; explanation section reports phantom reactor geometry and BPR setpoint,"[""$.record_sections.proposal.pre_reactor_steps[0]"", ""$.record_sections.final_design.streams[0].contents"", ""$.record_sections.chemistry_plan.stream_logic[0].molar_equiv""] | [""record_sections.explanation"", ""record_sections.process_topology.unit_operations[1].parameters.length_m"", ""record_sections.final_design.parameters.reactor_volume_mL"", ""record_sections.final_design.parameters.flow_rate_mL_min"", ""record_sections.final_design.stages[0].residence_flow_mL_min""]","[""Pre-reactor step says 'Prepare solution of benzyl azide and phenylacetylene in acetone at 0.25 M concentration.'"", ""Final stream contents specify 'benzyl azide (0.25 M)' and 'phenylacetylene (0.275 M)'."", ""Chemistry plan stream_logic gives molar_equiv 1.0 despite protocol 1.1 equiv phenylacetylene.""] | [""explanation: reactor 0.75 mm ID, 7.952 mL volume, 2.9452 mL/min, BPR 12.2 bar"", ""process_topology reactor_1 length_m=0.02 (implies 2 cm, not 6 cm inventory cartridge)"", ""final_design flow_rate=0.11111 mL/min but stages[0].residence_flow_mL_min=0.1111 (rounding inconsistency)"", ""phenylacetylene concentration listed as 0.275 M in stream but chemistry_plan stream_logic molar_equiv=1.0 vs final stream molar_equiv=1.1""]","Revise feed preparation and chemistry-plan stoichiometry to consistently specify benzyl azide 0.25 M, phenylacetylene 0.275 M, and phenylacetylene 1.1 equiv in the single acetone feed. | Replace explanation section with parameters matching final_design (0.3 mL, 4 mm ID, 60 mm, 0.11111 mL/min, 20 bar BPR); correct process_topology reactor length to 0.06 m; align chemistry_plan stream_logic molar_equiv to 1.1.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-002,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,CRITICAL,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,chemistry_protocol,HC-04,"Explanation contains invented literature, unsupported conversion claim, and unsupported physical assumptions | Explanation section cites invented literature DOI and phantom reactor parameters","[""$.record_sections.explanation""] | [""record_sections.explanation""]","[""Claims a literature analogy 'Flow Chemistry for Click Reactions, DOI: 10.1039/C9QI00000A'."", ""Claims 'predicted conversion (X=1.0) at 2.7 min residence time is based on kinetic models'."", ""Claims 'BPR of 12.2 bar' and 'vapor pressure ~11.8 bar at 150 C' in support of an unassigned setup.""] | [""DOI: 10.1039/C9QI00000A cited as 'Flow Chemistry for Click Reactions'"", ""reactor described as 0.75 mm ID, 7.952 mL, UA=12.723238 W/K, Da_th=0.016281 — none matching inventory or final_design""]","Delete the DOI/literature analogy, remove the X=1.0 conversion prediction and kinetic-model assertion, and replace the pressure rationale with the inventory-supported 20 bar BPR statement only. | Remove the fabricated DOI and replace the explanation's reactor description with parameters matching the actual final_design and inventory.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-003,NEEDS_TECHNICAL_ADJUDICATION,TOLERANCE_REVIEW_REQUIRED,MAJOR,,True,False,Qwen3.6-27B,CuAAC,H-DF8A379,numerical_engineering,HN-01,Multiple unit and numerical representation contradictions remain falsely validated | Inconsistent flow-rate representation across sections (0.11111 vs 0.1111),"[""$.record_sections.design_calculations.steps[0].values.t_batch_h"", ""$.record_sections.design_calculations.steps[0].summary"", ""$.record_sections.design_calculations.steps[0].values.t_batch_s"", ""$.record_sections.design_calculations.steps[1].values.IF_class"", ""$.record_sections.design_calculations.steps[2].values.L_m"", ""$.record_sections.design_calculations.tubing_length_m"", ""$.record_sections.final_design.process_graph.topology.unit_operations[1].parameters.length_m"", ""$.record_sections.design_calculations.consistent""] | [""record_sections.proposal.flow_rate_mL_min"", ""record_sections.final_design.process_graph.topology.total_flow_rate_mL_min"", ""record_sections.process_topology.total_flow_rate_mL_min"", ""record_sections.final_design.process_graph.topology.stages[0].residence_flow_mL_min""]","[""t_batch_h = 0.05 while summary states t_batch = 0.1 h and t_batch_s = 180 s"", ""IF_class = 10.0 while IF_implied = 1.1 for 3 min batch vs 2.700027 min flow"", ""L_m = 0.023873241461396976 and tubing_length_m = 0.0239 while serialized reactor length_m = 0.02"", ""consistent = true despite these contradictions""] | [""0.11111 mL/min (proposal, final_design.streams, instrument_manifest)"", ""0.1111 mL/min (process_graph.topology.total_flow_rate_mL_min, stages[0].residence_flow_mL_min, reactor_1.Q_inlet_mL_min)""]","Correct $.record_sections.design_calculations.steps[0].summary to 0.05 h, correct or remove $.record_sections.design_calculations.steps[1].values.IF_class, harmonize all reactor length fields to one basis, and set consistency flags/checks to reflect any remaining issues until resolved. | Replace every occurrence of 0.1111 mL/min with 0.11111 mL/min in process_graph.topology.total_flow_rate_mL_min, stages[0].residence_flow_mL_min, and reactor_1.Q_inlet_mL_min.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-004,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,MAJOR,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,numerical_engineering,HN-02,Premixed-feed molar flow and equivalents are internally inconsistent | Stoichiometric flow equation produces a flow rate inconsistent with the stated residence-time target,"[""$.record_sections.final_design.streams[0].contents"", ""$.record_sections.final_design.streams[0].concentration_M"", ""$.record_sections.final_design.streams[0].molar_equiv"", ""$.record_sections.final_design.streams[0].reasoning"", ""$.record_sections.proposal.streams[0].molar_equiv"", ""$.record_sections.design_calculations.n_molar_flow_mmol_min""] | [""record_sections.proposal.inventory_constraints.flow_recalculation"", ""record_sections.proposal.inventory_constraints.design_realization.decisions[1]"", ""record_sections.design_calculations.steps[2]"", ""record_sections.design_calculations.residence_time_min""]","[""Single premixed feed contains benzyl azide 0.25 M and phenylacetylene 0.275 M at one liquid flow 0.11111 mL/min"", ""stream molar_equiv = 1.1"", ""reasoning uses Q_i = k*(equiv_i/C_i) and selected total flow 0.11111 mL/min"", ""n_molar_flow_mmol_min = 0.0278 mmol/min for limiting reagent""] | [""Q = 0.11111 mL/min derived from equation Q_i = k*(equiv_i/C_i) with k=0.02525227, equiv=1.1, C=0.25 M"", ""tau = V_R/Q = 0.3/0.11111 = 2.700 min (claimed)"", ""pre_council_proposal flow = 1.5 mL/min with stated tau = 0.2 min, but reasoning_per_field text says 'use 0.1 mL/min for 3 min'""]","Replace the stream reasoning with explicit premix component molar flows, define molar_equiv per component or remove it from the mixed stream, and distinguish limiting-reagent molar flow from total reactive molar flow in all summaries and validations. | Replace the opaque equation with the explicit basis Q = V_R / tau_target and state the chosen tau_target (e.g., 2.7 min) with its justification; verify that phenylacetylene concentration 0.275 M = 1.1 × 0.25 M is explicitly confirmed in the feed description.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-005,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,MAJOR,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,numerical_engineering,HN-06,"Transport calculations use unsupported open-tube formulas and contradictory geometry for a packed-bed cartridge | Pe, mixing time, and heat-transfer area calculated with inconsistent reactor length (0.02 m instead of physical 0.06 m or volume-derived 0.02387 m)","[""$.record_sections.design_calculations.steps[3].summary"", ""$.record_sections.design_calculations.steps[3].values.Pe"", ""$.record_sections.design_calculations.steps[4].values.Re"", ""$.record_sections.design_calculations.steps[5].equations[0]"", ""$.record_sections.design_calculations.steps[6].equations[0]"", ""$.record_sections.final_design.parameters.reactor_type"", ""$.record_sections.process_topology.unit_operations[1].parameters.length_m""] | [""record_sections.design_calculations.steps[3].equations"", ""record_sections.design_calculations.steps[6].equations"", ""record_sections.design_calculations.steps[7].equations"", ""record_sections.design_calculations.Pe"", ""record_sections.design_calculations.heat_transfer_area_m2""]","[""Re, ΔP, Pe, and mixing time are computed from 4.0 mm open-tube relations; ΔP uses Hagen-Poiseuille form and mixing uses d^2/(D*pi^2); reactor type is a Cu/C packed-bed cartridge""] | [""Pe = 192*tau*D/d^2 = 192*162*1e-9/0.004^2 = 1.94 (using tau, not L — formula is non-standard)"", ""t_mix = d^2/(D*pi^2) = 0.004^2/(1e-9*pi^2) = 1621 s"", ""A_wall = pi*d*L = pi*0.004*0.02 = 0.000300 m^2 (uses L=0.02 m)"", ""Da_mass = k*d^2/D = 0.01737*0.000016/1e-9 = 277.9 (uses d not L, non-standard)""]","Recompute transport metrics with stated packed-bed assumptions (e.g., bed porosity, particle size, effective void volume) or remove/mark them unsupported, and update validation so unsupported transport claims are not passed as current facts. | Recalculate Pe using the standard definition Pe = v*L/D with the physical cartridge length L=0.06 m; recalculate A_wall and Q_rem with L=0.06 m; document the axial dispersion model used for the packed bed explicitly.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-006,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,MAJOR,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,process_inventory,HP-01,Required executable topology omits quench and waste handling despite case requirement | Abstract topology retains phantom mixer node not present in executable topology,"[""$.record_sections.process_topology.unit_operations"", ""$.record_sections.final_design.process_graph.topology.unit_operations"", ""$.record_sections.proposal.post_reactor_steps""] | [""record_sections.process_requirements_topology.unit_operations[1]"", ""record_sections.process_requirements_topology.streams[0]"", ""record_sections.process_topology.unit_operations"", ""record_sections.final_design.process_graph.topology.unit_operations""]","[""unit operations only include pump, reactor, heater, BPR, collector"", ""final process graph ends at collector with no quench or waste node"", ""post_reactor_steps: ['Pass effluent through BPR (20 bar) to maintain liquid phase.','Collect in vented amber vessel.','Evaporate solvent to isolate triazole product.']""] | [""process_requirements_topology includes op_id='mixer_1' (op_type='mixer') with stream s1: pump_a→mixer_1 and s2: mixer_1→reactor_1"", ""process_topology and final_design omit mixer_1; topology is pump_a→reactor_1→bpr_1→collector_1""]","Add explicit post-BPR quench and waste/phase-disposition operations using only available supported handling, or revise the design disposition to non-executable/NOT SUPPORTED if the inventory cannot represent the required work-up topology. | Remove mixer_1 and streams s1/s2 from process_requirements_topology, or annotate them as explicitly eliminated with rationale, to align the abstract and executable topologies.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-007,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,MAJOR,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,process_inventory,HP-03,Reactor geometry parameter conflicts with declared cartridge dimensions | Reactor length_m inconsistent with inventory cartridge dimensions,"[""$.record_sections.process_topology.unit_operations[1].parameters.length_m"", ""$.record_sections.final_design.process_graph.topology.unit_operations[1].parameters.length_m"", ""$.record_sections.proposal.inventory_selection.volume_mL"", ""$.record_sections.proposal.inventory_selection.ID_mm""] | [""record_sections.process_requirements_topology.unit_operations[2].parameters.length_m"", ""record_sections.process_topology.unit_operations[1].parameters.length_m"", ""record_sections.final_design.process_graph.topology.unit_operations[1].parameters.length_m"", ""authoritative_inventory.tubing[0].length_m""]","[""process_topology reactor length_m = 0.02"", ""final_design process_graph reactor length_m = 0.02"", ""inventory reactor is 0.3 mL and 4.0 mm ID; authoritative tubing/cartridge body length is 0.06 m""] | [""length_m=0.02 in reactor_1 parameters across process_requirements_topology, process_topology, and final_design"", ""Inventory tubing_xcube_ss_4mm lists length_m=0.06; held-out source confirms 60 mm cartridge""]","Replace length_m 0.02 with a value consistent with the represented geometry and inventory basis, or omit length if not supported by the selected inventory record. | Correct length_m to 0.06 in all reactor_1 parameter blocks.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-008,NEEDS_TECHNICAL_ADJUDICATION,TOLERANCE_REVIEW_REQUIRED,MAJOR,,True,False,Qwen3.6-27B,CuAAC,H-DF8A379,process_inventory,HP-04,Cross-record contradiction on executable-final status remains unresolved | Flow rate value 0.1111 vs 0.11111 inconsistently propagated across records,"[""$.record_sections.final_design.status"", ""$.record_sections.final_design.diagnostic.message"", ""$.record_sections.proposal.design_realization.final_validation.status""] | [""record_sections.proposal.flow_rate_mL_min"", ""record_sections.final_design.parameters.flow_rate_mL_min"", ""record_sections.process_topology.total_flow_rate_mL_min"", ""record_sections.process_topology.unit_operations[1].parameters.Q_inlet_mL_min"", ""record_sections.final_design.process_graph.topology.total_flow_rate_mL_min"", ""record_sections.final_design.process_graph.stages[0].residence_flow_mL_min""]","[""final_design.status = 'executable'"", ""final_design.diagnostic.message = 'No executable final design exists. Values in this diagnostic section are unapproved intermediate calculations.'"", ""proposal.design_realization.final_validation.status = 'ready'""] | [""0.11111 mL/min in proposal, final_design.parameters, pump settings, and feed_assignments"", ""0.1111 mL/min in process_topology.total_flow_rate_mL_min, reactor_1.Q_inlet_mL_min, final_design.process_graph.topology.total_flow_rate_mL_min, and stages[0].residence_flow_mL_min""]",Remove or explicitly mark the contradictory diagnostic message as obsolete/rejected so all final records consistently report the same execution status. | Standardize all flow-rate fields to 0.11111 mL/min (or a single rounded value applied uniformly).,/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-009,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,MAJOR,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,safety_operations,HS-01,"Hazard set is incomplete for hot pressurized acetone and alkyne service | Incomplete hazard identification: thermal runaway, solvent flammability, and high-pressure acetone vapor omitted","[""$.record_sections.design_realization.safety_contract.hazards"", ""$.record_sections.proposal.design_realization.safety_contract.hazards"", ""$.record_sections.chemistry_plan.incompatible_pairs"", ""$.record_sections.final_design.parameters.temperature_C"", ""$.record_sections.final_design.parameters.BPR_bar"", ""$.record_sections.final_design.streams[0].solvent"", ""$.record_sections.final_design.streams[0].contents""] | [""record_sections.safety_report"", ""record_sections.design_realization.safety_contract.hazards"", ""record_sections.chemistry_plan""]","[""hazards=[\""organic azide\"",\""energetic metal-azide accumulation\""]"", ""incompatible_pairs=[]"", ""temperature_C=150.0"", ""BPR_bar=20.0"", ""solvent=\""acetone\"""", ""contents include \""phenylacetylene\""""] | [""hazards listed: [\""organic azide\"",\""energetic metal-azide accumulation\""]"", ""chemistry_plan.temperature_sensitive: false"", ""chemistry_plan.deoxygenation_required: false""]","Add explicit hazards for acetone flammability and hot pressurized solvent release, pressure/overpressure of the heated packed-bed system, and phenylacetylene flammability/compatibility, then propagate matching controls into the safety contract and operating steps. | Add acetone flammability/vapor hazard, exothermic reaction hazard, and high-pressure hot-liquid depressurization hazard to safety_contract.hazards and chemistry_plan.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
FP-AUDIT-010,NEEDS_TECHNICAL_ADJUDICATION,LLM_CONSENSUS_REQUIRES_TECHNICAL_REVIEW,MAJOR,,False,False,Qwen3.6-27B,CuAAC,H-DF8A379,safety_operations,HS-02,"Preventive controls do not convert key hazards into executable startup and containment measures | Preventive controls absent for flammable solvent, exotherm, and pressure excursion; hardware_checks field is empty","[""$.record_sections.design_realization.safety_contract.required_controls"", ""$.record_sections.proposal.pre_reactor_steps"", ""$.record_sections.proposal.post_reactor_steps"", ""$.record_sections.process_topology.unit_operations[3].parameters.pressure_bar"", ""$.record_sections.safety_report.total_checks""] | [""record_sections.design_realization.safety_contract.required_controls"", ""record_sections.design_realization.safety_contract.hardware_checks"", ""record_sections.safety_report""]","[""required_controls=[\""Minimize azide holdup and avoid unassessed copper/metal-azide accumulation in stagnant zones.\"",\""Verify pressure-rated cartridge connections and flush the catalyst bed before opening.\""]"", ""pre_reactor_steps=[\""Prepare solution of benzyl azide and phenylacetylene in acetone at 0.25 M concentration.\"",\""Filter solution (0.22 um) to prevent clogging of packed bed cartridge.\""]"", ""post_reactor_steps=[\""Pass effluent through BPR (20 bar) to maintain liquid phase.\"",\""Collect in vented amber vessel.\"",\""Evaporate solvent to isolate triazole product.\""]"", ""pressure_bar=20.0"", ""total_checks=1""] | [""required_controls: [\""Minimize azide holdup...\"",\""Verify pressure-rated cartridge connections and flush the catalyst bed before opening.\""]"", ""hardware_checks: {}"", ""safety_report.critical: 0"", ""safety_report.screen_required: false""]","Specify an executable control set including pre-run leak/pressure check at ambient temperature, collection in a ventilated hood with vented vessel after the BPR, no ignition sources, maintain backpressure during heated operation, and flush/cool/depressurize before cartridge handling. | Populate hardware_checks with verified BPR relief path, temperature interlock setpoint, and ventilation/ignition-exclusion confirmation; add flammable-solvent and exotherm controls to required_controls.",/home/amirreza/Documents/codes/Flow Agent/ablation_results/newgen_benchmark/newgen_production_three_case_20260813_150731/cuaac_qwen27b_full_flowpilot/result.json
